start	end	text
1839860	1842040	Now the fourth pillar is nutrition.
1842040	1843560	And nutrition is a big topic.
1843560	1844960	It's a very barbed wire topic.
1844960	1847240	If you get involved in this stuff online,
1847240	1849840	you know, you've got your people who believe that,
1849840	1851600	you know, carnivore is better than vegan.
1851600	1852760	You have the people who believe vegan
1852760	1853680	is better than carnivore.
1853680	1854880	Most people are omnivores.
1854880	1857320	You have your seed oil debates and on and on and on.
1857320	1859240	We're not going to touch any of that now.
1859240	1862200	Indeed, if you want to learn more about nutrition
1862200	1863800	and what works and what doesn't work
1863800	1865960	for sake of aesthetic changes, weight loss,
1865960	1866880	muscle gain, et cetera,
1866880	1869280	I would refer you to the guest episode
1869280	1871360	that we did with Dr. Lane Norton.
1871360	1873160	You can find that again at hubermanlab.com
1873160	1875320	where we do a deep dive on all the variations
1875320	1877480	and different nutritional protocols.
1877480	1880300	But suffice to say that regardless of whether or not
1880300	1883100	you're vegan, omnivore, carnivore, or keto or whatever,
1884060	1886640	everybody needs to consume sufficient amounts,
1886640	1890380	but not excess amounts of quality calories per day.
1890380	1892040	Now you may do that by intermittent fasting.
1892040	1894720	You may do that by a more traditional meal scheduling,
1894720	1897880	but everybody's going to need to do that
1897880	1899680	because your body and brain,
1899680	1902360	and indeed the parts of your body and brain
1902360	1905760	that translate to mood and mental health
1905760	1907840	require macronutrients,
1907840	1909200	proteins, fats, and carbohydrates,
1909200	1910480	as well as micronutrients.
1910480	1912420	So the key takeaway with nutrition
1912420	1914400	is to make it quality nutrition
1914400	1917160	within the bounds of whatever sort of nutritional program
1917160	1918040	that you're following.
1918040	1921880	And that means getting most of your food sources
1921880	1925280	from either non-processed or minimally processed foods.
1925280	1927520	So these will be foods that you're going to need to prepare
1927520	1930720	or foods that would perish over time.
1930720	1932600	These are not the sorts of foods that live in boxes
1932600	1934360	and cans and other packages
1934360	1935800	that would allow them to live on the shelves
1935800	1937120	forever and ever.
1937120	1939520	Okay, and as I say that, I know many people are shouting,
1939520	1940880	well, what about rice?
1940880	1942540	Rice can live on the shelf for a long time.
1942540	1946520	And yes, okay, I consider rice a minimally processed food
1946520	1948080	because of course it can live on the shelf
1948080	1949000	for a long period of time.
1949000	1951560	And here I'm just going to back out of the whole conversation
1951560	1952800	about nutrition at this point,
1952800	1955160	because as you can probably tell,
1955160	1958800	it's a deep series of rabbit holes that we can fall into
1958800	1959760	and really get distracted.
1959760	1962280	The point is make sure you're getting enough food.
1962280	1963240	Don't overeat.
1963240	1966320	We know energy toxicity is a problem
1966320	1969120	for not just body composition, but for mental health.
1969120	1972520	So you want to get enough calories, but not too few calories.
1972520	1974160	And you'll want to make sure that you're getting them
1974160	1975640	from quality sources.
1975640	1976840	And I say that because of course,
1976840	1980000	food is not just the substrate for the seller repair
1980000	1982740	and indeed production of tissues in your body,
1982740	1985260	but it's also the substrate for all the sorts
1985260	1986920	of neurotransmitters, right?
1986920	1989040	Which are derived from amino acid precursors
1989040	1991080	that are derived from food, right?
1991080	1993560	All of that dopamine stuff and serotonin stuff
1993560	1996160	is derived from amino acids that come from food sources.
1996160	1998900	So the link between nutrition and mental health
1998900	2000480	should now be an obvious one.
2000480	2003040	As we all know, quality nutrition influences,
2003040	2004200	of course, our physical health,
2004200	2006920	but also our mental health and our cognitive functioning,
2006920	2009840	our memory, our ability to learn new things and to focus.
2009840	2012020	And we know that one of the most important features
2012020	2013960	of high quality nutrition is making sure
2013960	2015960	that we get enough vitamins and minerals
2015960	2019560	from high quality, unprocessed or minimally processed sources,
2019560	2022680	as well as enough probiotics and prebiotics and fiber
2022680	2025740	to support basically all the cellular functions in our body,
2025740	2027600	including the gut microbiome.
2027600	2029720	Now, I, like most everybody,
2029720	2032780	try to get optimal nutrition from whole foods,
2032780	2036960	ideally mostly from minimally processed or non-processed foods.
2036960	2038440	However, one of the challenges that I
2038440	2039920	and so many other people face
2039920	2042000	is getting enough servings of high quality fruits
2042000	2044940	and vegetables per day, as well as fiber and probiotics
2044940	2047140	that often accompany those fruits and vegetables.
2047140	2049180	That's why way back in 2012,
2049180	2053040	long before I ever had a podcast, I started drinking AG1.
2053040	2054620	And so I'm delighted that AG1
2054620	2056780	is sponsoring the Huberman Lab podcast.
2056780	2058520	The reason I started taking AG1
2058520	2061800	and the reason I still drink AG1 once or twice a day
2061800	2064600	is that it provides all of my foundational nutritional needs.
2064600	2066560	That is, it provides insurance
2066560	2068920	that I get the proper amounts of those vitamins,
2068920	2070960	minerals, probiotics, and fiber
2070960	2073000	to ensure optimal mental health,
2073000	2075200	physical health, and performance.
2075200	2076600	If you'd like to try AG1,
2076600	2079880	you can go to drinkag1.com slash Huberman
2079880	2081440	to claim a special offer.
2081440	2083200	They're giving away five free travel packs
2083200	2086040	plus a year supply of vitamin D3K2.
2086040	2089360	Again, that's drinkag1.com slash Huberman
2089360	2091240	to claim that special offer.
2091240	2093760	The fifth pillar in the big six is social connection.
2093760	2095120	And we're going to talk a little bit more
2095120	2096740	about this later in the episode,
2096740	2099320	but let's just be very brief and specific about this.
2099320	2102580	We all need to strive to limit the number
2102580	2106280	of social interactions that we feel tax
2106280	2109000	or even vex us that cause us stress.
2109000	2111720	This is something that was covered in depth
2111720	2113540	in the episode with Dr. Lisa Feldman Barrett,
2113540	2115080	where she talked about the fact
2115080	2116700	that we don't just have a nervous system
2116700	2119080	that regulates itself through experience
2119080	2121760	and through our thoughts and our actions.
2121760	2125400	We are, as a species, interacting with other nervous systems,
2125400	2127760	both of our own species, other humans,
2127760	2130240	as well as non-human species, dogs and cats,
2130240	2132600	and if you have them, horses and other animals.
2132600	2134240	So we need to think about our nervous system
2134240	2136320	as being both regulated from the inside
2136320	2138760	and through our own actions and choices and thoughts,
2138760	2141800	but also through interaction with other nervous systems.
2141800	2144200	And while we don't always have as much control
2144200	2147600	over which social interactions or work interactions
2147600	2149280	we have to engage in,
2149280	2152080	we should really strive to understand
2152080	2154260	and indeed pay some serious attention
2154260	2157400	to whether or not certain types of social interactions
2157400	2161420	are what she referred to as net savings,
2161420	2164040	neutral or taxing, right?
2164040	2165680	Certain types of social interactions
2165680	2167480	with certain people or groups of people
2167480	2168760	just make us feel taxed.
2168760	2170520	It makes us feel stressed.
2170520	2173600	It leads to negative affect.
2173600	2176720	That is not good feelings or emotions
2176720	2179520	and often elevated levels of autonomic arousal
2179520	2180800	that leave us ruminating
2180800	2182480	and leave us having challenges with sleep.
2182480	2185680	We really should all strive to limit those interactions
2185680	2187280	to the extent that we can.
2187280	2188520	On the reverse side of that,
2188520	2191760	as Lisa Feldman Barrett so beautifully pointed out,
2191760	2192980	we also have the capability
2192980	2194820	to regulate each other's nervous systems
2194820	2197080	in ways that produce savings,
2197080	2199400	that is, that allow us to feel
2199400	2202040	and indeed cause physiological changes
2202040	2205360	that make us feel not just happier, not just relaxed,
2205360	2208840	not just happy because we enjoy interacting with somebody
2208840	2212500	but we're a group, but that give us a savings,
2212500	2214360	that give us the kind of resources,
2214360	2216960	literally metabolic and neurochemical resources
2216960	2218640	that make us feel more capable
2218640	2220480	and give us a sense of elevated mood
2220480	2221580	and improved mental health
2221580	2224000	when we are not engaging with those people.
2224000	2225760	And this is highly subjective, of course,
2225760	2227240	but you should be able to distinguish.
2227240	2229880	In fact, I encourage you to spend a little bit of time,
2229880	2231520	maybe even just five or 10 minutes,
2231520	2234160	thinking about who are the individuals and groups
2234160	2237840	that I interact with that leave me feeling taxed,
2237840	2240080	that really seem to drain my energy
2240080	2243040	and have me ruminating and in a not good space
2243040	2245400	when I leave whatever interaction I had with them.
2245400	2248160	This could be a real interaction or an online interaction.
2248160	2250680	Indeed, I did this the other day based on Lisa's suggestion.
2250680	2253040	I found it to be tremendously useful.
2253040	2255640	What I did is I decided to,
2255640	2257400	and by the way, this was happening on a run
2257400	2258620	where I was thinking,
2258620	2261600	a lot of my mind is in a conversation with people
2261600	2262640	that aren't even here.
2262640	2265600	I was sort of working through a conversation.
2265600	2267080	I was thinking about what I would say,
2267080	2269280	what I did say, what they said,
2269280	2272480	in an interaction that unfortunately was pretty unpleasant.
2272480	2273800	It wasn't extremely unpleasant,
2273800	2274800	but it was pretty unpleasant.
2274800	2278040	And I realized, okay, that is a sort of interaction
2278040	2279560	that I would like to avoid in the future
2279560	2281380	because it wasn't happening right then,
2281380	2284420	but it was carried forward into a portion of my day,
2284420	2287880	my morning run that for me is normally very pleasurable
2287880	2290040	and quite sacred to me, actually.
2290040	2291520	So paying some attention
2291520	2293960	to how much of your internal dialogue is with yourself
2293960	2296160	versus with others and how much of that is positive
2296160	2298440	or negative is extremely beneficial.
2298440	2300920	And I'm not talking about always just thinking about oneself
2300920	2302040	and not thinking about others.
2302040	2304500	To the contrary, we also need to think,
2304500	2306600	as Lisa pointed out,
2306600	2309940	about who are the people with whom we interact with
2309940	2314400	or observe that lead us to have ongoing dialogue with them
2314400	2316520	in our mind or think about those interactions
2316520	2318200	in ways that give us energy,
2318200	2320220	that lead to energetic savings,
2320220	2322540	literally metabolic savings that we can apply,
2322540	2324580	not just in those interactions,
2324580	2327620	but in our work endeavors and our solo endeavors,
2327620	2328460	whatever that we're doing
2328460	2329880	when we are away from those people.
2329880	2334880	So while this concept of savings or neutral or taxation
2336200	2338940	of our metabolic and our neurochemical systems
2338940	2341380	might seem a little bit squishy, it is not squishy.
2341380	2343900	This is a neurobiological concept.
2343900	2345620	It's also a psychological concept.
2345620	2347760	And it's one that I'm so glad that Lisa brought up
2347760	2351800	because social connection, social interaction is so vital
2351800	2353400	to our mood and mental health.
2353400	2355880	But oftentimes we hear social connection and we think,
2355880	2357840	oh, that means we have to spend a lot of time with friends.
2357840	2359560	We have to organize dinner parties.
2359560	2362680	Well, sure, that's all fine and good if you can do that.
2362680	2364720	And I do, of course, encourage people to spend time
2364720	2365680	with those that they love,
2365680	2368580	but it's also important to take a step back
2368580	2371240	and just think a bit, maybe even write out a bit,
2371240	2373400	who are the groups and sorts of individuals
2373400	2374760	and interactions that really tax you?
2374760	2376880	Who are the people that you find kind of neutral?
2376880	2378440	And what are the individuals and groups
2378440	2381360	that really provide what Lisa referred to as savings?
2381360	2383200	That is, they tap into the metabolic
2383200	2384880	and neurochemical pathways that lead us
2384880	2386840	to have improved mood and mental health,
2386840	2388580	not just during those interactions,
2388580	2390820	but away from those interactions as well,
2390820	2394440	and often pervasively and extremely positively so.
2394440	2397020	So this is no small deal.
2397020	2400220	This is a really important aspect of our mental health.
2400220	2404540	Now, the sixth pillar in the big six is stress control.
2404540	2407340	And the reason it's included is that,
2407340	2409780	look, stress is going to happen.
2409780	2412860	Life is filled with so-called stressors.
2412860	2415780	And for a good number of years, in fact, the last 15 years,
2415780	2418380	there's been a lot of debate in the field of psychology
2418380	2419340	and neuroscience as well,
2419340	2421140	whether or not stress is good for us,
2421140	2422420	whether or not stress is bad for us,
2422420	2424340	whether or not we simply need to reframe stress
2424340	2425180	as good or bad.
2425180	2427420	And to some extent, all of that is true.
2427420	2429780	We know that chronic stress is not good for our memory,
2429780	2431580	our immune system, or our health.
2431580	2434700	We also know that if you understand the reality,
2434700	2437620	which is that stress also allows us to harness our mental
2437620	2440700	and physical resources to perform better than we would
2440700	2442580	otherwise in certain circumstances,
2442580	2445220	and that provided we can get to sleep each night,
2445220	2446940	that perhaps stress isn't so bad,
2446940	2449180	and perhaps is even performance enhancing.
2449180	2451700	I talked about this in the guest episode
2451700	2455380	with Dr. Ali Krum from the psychology department at Stanford,
2455380	2457940	and I've talked about this in other podcasts as well.
2457940	2461060	And I'm not here to tell you that stress is good for you.
2461060	2462740	I'm not here to tell you that stress is bad for you.
2462740	2465340	What I am going to tell you is that it is extremely important
2465340	2469460	that we all have readily accessible stress management tools
2469460	2471380	that work the first time and every time.
2471380	2472860	And these fall into two categories.
2472860	2475140	The first category are real time tools.
2475140	2477740	So tools that you can use to reduce your level of stress
2477740	2478700	in real time.
2478700	2481780	And the best way that I'm aware of that's grounded
2481780	2484900	in excellent physiology and neuroscience
2484900	2486820	to reduce your stress in real time
2486820	2488740	is the so-called physiological side.
2488740	2490700	I did not invent this pattern of breathing.
2490700	2492660	It's not breath work per se.
2492660	2494740	This is a pattern of breathing that we all naturally do
2494740	2497700	in our sleep to restore carbon dioxide and oxygen levels
2497700	2499220	to their proper ratios.
2499220	2500940	We also do it periodically throughout the day
2500940	2501900	without noticing.
2501900	2505260	Indeed, we have a defined or specific neural circuit
2505260	2507420	in our brain that extends to our diaphragm
2507420	2511380	and communicates with aspects of our heart, et cetera,
2511380	2515380	that allow physiological size to calm us down faster,
2515380	2518820	at least to my knowledge, than any other directed protocol.
2518820	2520860	And the physiological side, as many of you know,
2520860	2522700	is very simple and straightforward.
2522700	2524060	Anyone can do this.
2524060	2527020	You simply do a big inhale through your nose,
2527020	2529620	try and maximize the inflation of your lungs.
2529620	2531580	And then before you exhale,
2531580	2533660	sneak in another brief inhalation,
2533660	2535620	even if it's just a tiny micro inhalation
2535620	2538060	to maximally inflate the lungs.
2538060	2540340	And that has an important effect on the little sacs
2540340	2542420	in the lungs called the avioli of the lungs.
2542420	2545340	It's going to open up whatever avioli were collapsed
2545340	2546180	in there.
2546180	2549260	And then you're going to do a long extended exhale
2549260	2550500	through the mouth.
2550500	2552300	And typically just one,
2552300	2553900	although sometimes it requires two or three,
2553900	2557540	but just one physiological sigh is effective
2557540	2560100	in bringing down one's level of stress
2560100	2562860	significantly enough that you don't need to do it again.
2562860	2565500	So this can be done essentially anywhere and by anyone.
2565500	2568060	I suppose you probably couldn't do it if you were underwater
2568060	2570580	or certainly don't do it if you're underwater,
2570580	2573540	but otherwise it's a very safe and very effective way
2573540	2575740	to calm down and reduce your levels of stress
2575740	2577940	in real time, maybe before public speaking
2577940	2580340	or in whatever circumstance you feel you need to calm down
2580340	2581580	in real time.
2581580	2583940	So I'll demonstrate the physiological sigh for you here.
2583940	2586780	I've done this many times before in previous episodes,
2586780	2588180	but for those of you that haven't heard
2588180	2589580	or seen those episodes,
2589580	2592220	I feel obligated to do it again now.
2592220	2593980	Okay, so it's a deep inhale through the nose
2593980	2595740	followed by another brief inhale through the nose
2595740	2597300	and then a long exhale through the mouth.
2597300	2599100	And before you start asking questions about,
2599100	2600700	what do I do if I have a deviated septum?
2600700	2602060	Can it be just through the mouth?
2602060	2603940	Do the first two through the nose,
2603940	2605740	do the third through the mouth.
2605740	2606700	So it's like this.
2617140	2618860	And indeed I feel calmer.
2618860	2621420	And indeed, if you do it, you will feel calmer.
2621420	2623220	You'll notice that second inhale through the nose
2623220	2627060	was kind of sharp in the sense that I had to really push,
2627060	2629100	put some physical effort into making it happen.
2629100	2631180	And my shoulders jolted upwards
2631180	2632740	if you're just listening to this
2632740	2634700	and not watching my shoulders jolted upwards.
2634700	2637380	That second inhale through the nose is important
2637380	2639460	for a variety of reasons I've talked about elsewhere.
2639460	2641900	So the physiological sigh is going to be
2641900	2643620	the go-to protocol for you.
2643620	2645060	Again, not invented by me.
2645060	2646300	This is not Huberman breathing.
2646300	2649660	This is a pattern of breathing discovered in the 1930s
2649660	2650620	by physiologists.
2650620	2652420	It's hardwired into our nervous system.
2652420	2653580	And that's what makes it so great.
2653580	2656380	It works the first time and it works every time.
2656380	2657860	So that's, to my knowledge,
2657860	2661580	the best way to control your stress in real time.
2661580	2664300	Now, why is that important for mood and mental health?
2664300	2666580	Well, as we'll talk about later,
2666580	2669300	if you want to access your so-called generative drive,
2669300	2671580	a theme that we're going to get into in a bit more detail,
2671580	2673580	this is something that came up during the series
2673580	2675020	with Dr. Paul Conti,
2675020	2678180	you will learn that stress and anger and negative emotions,
2678180	2681100	while they can be very motivating, very arousing,
2681100	2683580	they are not going to be good
2683580	2687500	for your long-term mood and mental health, period.
2687500	2689980	So having tools to regulate your stress
2689980	2692460	and your levels of anger, your levels of reactivity,
2692460	2694860	and also to elevate your feelings of agency
2694860	2696100	and control over your life,
2696100	2699500	starting with agency and control over your physiology,
2699500	2702420	your internal state, is going to be vital.
2702420	2704300	And what I love about the physiological side
2704300	2706380	is that, of course, it's completely zero cost,
2706380	2710060	but also there's a dedicated circuit in your brain and body
2710060	2712500	for this particular pattern of breathing.
2712500	2715820	We do it spontaneously, but you can do it intentionally
2715820	2718100	and it works just as well, if not better,
2718100	2719780	to regulate your levels of stress.
2719780	2721580	That is to bring them down,
2721580	2723740	which has outsized positive effects
2723740	2725820	on your mood and mental health, not just in the moment,
2725820	2728860	but it also should improve your confidence
2728860	2731060	that when stress comes,
2731060	2733300	because the world is filled with stressors, it's not if,
2733300	2734940	it's when, when stress comes
2734940	2737020	that you will have a physiologically,
2737020	2739420	scientifically supported tool to deal with
2739420	2741060	and reduce that stress.
2741060	2742940	Now, in addition, I do believe it's important
2742940	2744900	for sake of mood and mental health
2744900	2748420	to also have a tool or a protocol
2748420	2750500	to raise your stress threshold.
2750500	2752220	That is to increase your capacity
2752220	2753660	to deal with life stressors
2753660	2756260	without them feeling so stressful.
2756260	2757700	And there are a number of different ways to do this,
2757700	2760140	but they all center around elevating your levels
2760140	2763660	of adrenaline, epinephrine, and norepinephrine,
2763660	2765420	noradrenaline, those are the same thing,
2765420	2767100	just they have multiple names, forgive me.
2767100	2768900	I didn't give the same two things four names,
2768900	2772380	so don't blame me, blame the other scientists that did it.
2772380	2775220	The point is, there are several ways
2775220	2777780	that you can self-induce elevations
2777780	2781220	of noradrenaline and adrenaline,
2781220	2784180	and then to learn to anchor your mind
2784180	2785620	and your thinking to stay calm
2785620	2787540	in those elevated adrenaline states
2787540	2790140	as a practice for when stressors hit you
2790140	2791300	in the outside world
2791300	2793940	and your adrenaline and noradrenaline spike.
2793940	2796700	Now, one of the best ways to do this,
2796700	2798940	because it works the first time and every time
2798940	2802500	and is also zero cost, in fact, it will save you money,
2802500	2805660	is to put yourself in a cold shower
2805660	2808460	or other deliberate cold exposure environment,
2808460	2811300	but most everyone has access to a cold shower,
2811300	2813060	not everyone, but most people.
2813060	2814820	And of course, by turning off the heat,
2814820	2817740	you're going to reduce heating costs, right, your water bill.
2817740	2821780	So getting into a cold shower for a minute or so
2821780	2823220	to elevate your levels of adrenaline
2823220	2825100	and learning to either use your breathing,
2825100	2826900	you could do physiological size,
2826900	2828620	or to distract yourself,
2828620	2830940	or whatever tools and approaches you need
2830940	2833300	to be able to stay calm
2833300	2836500	while you have elevated levels of adrenaline in your body.
2836500	2839020	And the reason deliberate cold exposure works so well
2839020	2842860	to do this is that it is pretty non-negotiable.
2842860	2845500	Even if you really love cold showers or cold plunges
2845500	2847220	or things of that sort,
2847220	2850060	you're still going to get that elevated adrenaline
2850060	2851260	and noradrenaline.
2851260	2854020	It's pretty much non-negotiable.
2854020	2855340	For the first 10 or 15 seconds
2855340	2857180	that you get into a cold plunge or a cold shower,
2857180	2859860	you should fully expect yourself to feel stressed
2859860	2861420	and for your breathing to accelerate.
2861420	2863260	And then your goal is to try and anchor
2863260	2865980	or control your breathing in that stressful environment.
2865980	2868420	The reason for doing this is that it's a practice.
2868420	2870420	It's a practice that's going to translate
2870420	2873260	to a better ability to manage your internal state,
2873260	2875500	and therefore your thinking, your cognition,
2875500	2878460	and your ability to make good decisions under stress.
2878460	2882180	It's not about becoming untouched by stress.
2882180	2885260	It's about being able to better navigate stress.
2885260	2888780	Indeed, I think of this as analogous to driving in fog,
2888780	2889940	something that I had to learn to do
2889940	2891140	because I grew up in the Bay Area
2891140	2893340	and it can be very foggy there sometimes.
2893340	2895340	And of course you don't learn to drive in fog
2895340	2896700	the first day you learn how to drive,
2896700	2899220	but the first time you hit heavy fog driving
2899220	2900740	where you can only see one reflector
2900740	2903740	in front of you at a time, it is truly stressful, right?
2903740	2904860	You don't know if you're going to come up
2904860	2907460	on another vehicle in an instant,
2907460	2908780	which of course can happen.
2908780	2910380	So you have to adjust a number of things.
2910380	2911700	You have to learn how to do that.
2911700	2914940	And while I would never elect to drive in fog,
2914940	2916780	learning to drive in fog teaches you
2916780	2918020	how to be comfortable driving
2918020	2919100	in different weather environments.
2919100	2920540	Same thing with driving in a rainstorm
2920540	2922860	or for you East coasters from the Northeast,
2922860	2924380	learning how to drive in a snowstorm.
2924380	2925820	You would never elect to do that,
2925820	2926980	but once you do it a few times,
2926980	2929940	you feel more comfortable in those extreme conditions.
2929940	2932180	So that's really what raising your stress threshold
2932180	2933060	is all about.
2933060	2935900	Of course, do it safely, do it under conditions
2935900	2937020	in which you're not going to get hurt
2937020	2938780	or anyone else will get hurt.
2938780	2941060	But learning how to do this can be extremely beneficial.
2941060	2944220	And of course, deliberate cold exposure isn't the only way,
2944220	2946220	but frankly, it's the most reliable way
2946220	2948460	and it's the most versatile way to do that
2948460	2949780	because you can do it in your shower
2949780	2951260	or in a cold plunge at home.
2951260	2952860	So you can practice these things.
2952860	2954260	Again, safety first,
2954260	2957260	always make sure you're not exposing yourself to cold
2957260	2958860	to the extent that you're going to damage yourself
2958860	2961740	mentally or physically, but it's a great practice.
2961740	2962940	And you could probably think of other ways
2962940	2965500	to spike your adrenaline that was safe.
2965500	2968140	And of course, life will spike your adrenaline.
2968140	2973140	So you can also use real life as your stress inoculation tool
2973380	2975100	and we all have to do that anyway.
2975100	2978220	What I'm suggesting is that you adopt a real time tool,
2978220	2980340	physiological size, and that you adopt
2980340	2983220	at least one offline tool that you do anywhere from one
2983220	2985140	to three, maybe seven days a week,
2985140	2986820	but at least one day a week that you put yourself
2986820	2989420	into a cold shower, deliberate cold exposure,
2989420	2991860	not for sake of increasing metabolism or anything else,
2991860	2994780	but really just to learn how to calm yourself
2994780	2998140	and maintain clear cognition when stress hits
2998140	3000660	because indeed stress is going to hit.
3000660	3004180	So that's the big six for improving mood and mental health.
3004180	3007460	And the big six apply, that is they are the cornerstone
3007460	3010220	for mood and mental health, regardless of who you are,
3010220	3012700	regardless of your age, regardless of whether or not
3012700	3015220	you're dealing with an acute or a severe mood
3015220	3017540	or mental health disorder, or you find yourself
3017540	3019660	to be reasonably healthy with respect
3019660	3021100	to mood and mental health.
3021100	3022980	And you simply want your mood and mental health
3022980	3026540	to be stable and or improve over time.
3026540	3030060	Now, the reason why the big six, those six pillars
3030060	3032220	are so important for mood and mental health
3032220	3034100	and indeed form a critical component
3035020	3036420	of what Dr. Paul Conti referred to
3036420	3039300	as the first principles of self-care
3039300	3043220	is that those six pillars establish a milieu
3043220	3046260	that is an environment of neurochemicals,
3046260	3049260	including neuromodulators such as dopamine, serotonin,
3049260	3051980	epinephrine, norepinephrine, acetylcholine,
3051980	3055380	and other neurochemicals as well, as well as hormones,
3055380	3058460	testosterone, estrogen, prolactin, cortisol,
3058460	3061820	and immune molecules and on and on
3061820	3065420	that lead to a high degree of predictability
3065420	3067300	in your brain and nervous system.
3067300	3068380	Now, what do I mean by that?
3068380	3071260	Why would predictability be such a key component
3071260	3072580	of mood and mental health?
3072580	3074420	Is it really just about knowing that you're going
3074420	3076380	to feel energized in the early part of the day
3076380	3078020	and tired at the end of the day?
3078020	3079060	Now, that might be part of it,
3079060	3081300	but that's not the major takeaway.
3081300	3084620	The major takeaway is that as Dr. Lisa Feldman Barrett,
3084620	3087180	so aptly pointed out, your brain
3087180	3089260	and indeed your entire nervous system
3089260	3091180	has a couple of major jobs,
3091180	3093020	has the job of regulating your breathing
3093020	3094980	and your heart rate, et cetera.
3094980	3097260	It also has the job of regulating your thinking
3097260	3098940	and your planning and your memory.
3098940	3101180	Those are the jobs of the brain and nervous system
3101180	3102780	that we normally hear about.
3102780	3104900	But if we think about the more macro jobs
3104900	3108380	that the brain has, the key function of the brain,
3108380	3109940	certainly the parts of the brain
3109940	3112020	that are more recently evolved,
3112020	3114620	the ones involved in thinking and planning, et cetera,
3114620	3117740	are really involved in generating predictions,
3117740	3120300	predictions about what's going to happen next
3120300	3122220	and whether or not you're going to be prepared
3122220	3123740	for what's going to happen next.
3123740	3126060	And indeed, Dr. Lisa Feldman Barrett
3126060	3128420	also beautifully illustrated this model
3128420	3132340	of the brain as regulating a brain-body budget
3132340	3136980	and moods and a related topic, which she called affect.
3136980	3139300	Okay, I'll explain what affect is in a moment.
3139300	3143060	Setting the stage for being able to better predict
3143060	3144620	what's going to happen next
3144620	3148660	and therefore regulating your mood in the moment.
3148660	3150620	Let's just take a moment and explore that statement
3150620	3152300	in a little bit more detail.
3152300	3153500	Essentially what she was saying
3153500	3155420	and what I'm now again saying
3155420	3158620	is that your brain and body go through different states.
3158620	3162220	Your state at a given moment can be labeled as your affect.
3162220	3164140	Your affect includes a lot of different things,
3164140	3166580	including levels of autonomic arousal,
3166580	3168580	levels of hormones, levels of trans mirrors,
3168580	3169740	all of that stuff.
3169740	3172660	But it falls under the umbrella of affect.
3172660	3177500	Affect essentially sets the stage for particular emotions
3177500	3180300	to be more likely or less likely to emerge.
3180300	3182860	So emotion and affect aren't the same thing.
3182860	3184620	Affect is a bit more general.
3184620	3187180	It sort of undergirds the possibility
3187180	3189540	of having certain moods like feeling elated,
3189540	3192540	happy or sad or depressed.
3192540	3194380	It really sets the general stage
3194380	3197220	for different types of specific emotions,
3197220	3199380	even highly specific emotions.
3199380	3202980	So in that way, when you're taking care of the big six,
3202980	3206380	when you're tending to these six pillars on a regular basis,
3206380	3208780	and I should point out that we really want to tend
3208780	3211060	to those six pillars every single day
3211060	3213300	or every single 24 hours,
3213300	3215820	we really need to make those a regular investment
3215820	3217940	to the extent that we can.
3217940	3221180	When we do that, we create a neurochemical
3221180	3224500	and a neural milieu that allows the brain
3224500	3227180	to be in a better predictive state.
3227180	3231220	It allows the brain to give rise to certain affects,
3231220	3234380	spelled A-F-F-E-C-T-S,
3234380	3237340	so affects that lead to certain emotions
3237340	3240260	being more or less likely to occur.
3240260	3243020	Put very simply, when we're tending to those six pillars
3243020	3246420	on a regular basis, we feel better more generally,
3246420	3250060	and therefore the emotions that we tend to have
3250060	3251060	under different conditions,
3251060	3253260	even conditions of a difficult interaction
3253260	3255460	with a coworker or with a family member,
3255460	3258420	tend to be more positive than if we are not tending
3258420	3259900	to those six pillars.
3259900	3262580	Now, in some sense, that's sort of a duh statement.
3262580	3264020	For instance, if you're sleep deprived,
3264020	3265740	if you're not fed well,
3265740	3267340	like you haven't eaten in a few hours,
3267340	3269460	of course, you're going to be more irritable,
3269460	3270740	you're going to be more reactive,
3270740	3273460	you are going to be more emotionally labile.
3273460	3274620	But sleep and nutrition
3274620	3277180	are just two of those six core pillars.
3277180	3278900	When we talk about those core pillars
3278900	3280900	and the necessity for tending to them
3280900	3283540	on a regular, every 24-hour basis,
3283540	3284980	what we're really talking about
3284980	3287500	is creating a milieu within our brain and nervous system
3287500	3290500	that allows the nervous system to do what it does best,
3290500	3293500	and in fact, what its main job is to do,
3293500	3295620	which is to predict what's going to happen next.
3295620	3297900	Because as Lisa Feldman Barrett pointed out,
3297900	3301180	emotions are really context-dependent states
3301180	3305220	that allow us to navigate not just our present circumstances,
3305220	3308580	but they are our nervous system and brain's best guess
3308580	3312300	about the circumstances that we are soon going to encounter.
3312300	3313740	Now, I don't offer you all of that
3313740	3317460	as kind of a bunch of a tangled mess of nerd speak
3317460	3318300	to confuse you.
3318300	3321140	What I'm saying is that by tending to those six core pillars,
3321140	3325340	you are shifting the likely affects that you will experience
3325340	3327980	and therefore the likely emotions that you will experience.
3327980	3329540	So you're biasing your whole system
3329540	3333420	towards more positive affect and more positive emotions,
3333420	3336540	regardless of what your life circumstances happen to be
3336540	3338500	and the stressors that you encounter.
3338500	3340300	And indeed, you also are including
3340300	3342700	that six pillar of stress control.
3342700	3344540	So when those stressors arrive,
3344540	3347100	you'll be better able to navigate them.
3347100	3349380	Now, this view of emotion regulation,
3349380	3351020	of mood and mental health,
3351060	3353220	is certainly not a novel concept.
3353220	3355820	People have talked about the physiological regulation of mood
3355820	3358540	from the time of William James and even earlier.
